Date,Ticker,Close_Price,Volume
2024-01-21,AAPL,,
2024-01-21,BTC-USD,41545.78515625,9344043642.0
2024-01-21,ETH-USD,2453.9130859375,4578471955.0
2024-01-21,MSFT,,
2024-01-21,NVDA,,
2024-01-21,TSLA,,
2024-01-22,AAPL,192.07603454589844,60133900.0
2024-01-22,BTC-USD,39507.3671875,31338708143.0
2024-01-22,ETH-USD,2310.826416015625,13923771728.0
2024-01-22,MSFT,390.6849670410156,27016900.0
2024-01-22,NVDA,59.620784759521484,452955000.0
2024-01-22,TSLA,208.8000030517578,117952500.0
2024-01-23,AAPL,193.35397338867188,42355600.0
2024-01-23,BTC-USD,39845.55078125,29244553045.0
2024-01-23,ETH-USD,2240.68603515625,16182147521.0
2024-01-23,MSFT,393.03985595703125,20525900.0
2024-01-23,NVDA,59.839664459228516,294654000.0
2024-01-23,TSLA,209.13999938964844,106605900.0
2024-01-24,AAPL,192.6803436279297,53631300.0
2024-01-24,BTC-USD,40077.07421875,22359526178.0
2024-01-24,ETH-USD,2233.561767578125,10134722960.0
2024-01-24,MSFT,396.6460876464844,24867000.0
2024-01-24,NVDA,61.32783508300781,560271000.0
2024-01-24,TSLA,207.8300018310547,123369900.0
2024-01-25,AAPL,192.35340881347656,54822100.0
2024-01-25,BTC-USD,39933.80859375,18491782013.0
2024-01-25,ETH-USD,2217.710205078125,9302247037.0
2024-01-25,MSFT,398.9221496582031,21021200.0
2024-01-25,NVDA,61.58268737792969,482777000.0
2024-01-25,TSLA,182.6300048828125,198076800.0
2024-01-26,AAPL,190.6197967529297,44594000.0
2024-01-26,BTC-USD,41816.87109375,25598119893.0
2024-01-26,ETH-USD,2267.19970703125,9975117607.0
2024-01-26,MSFT,397.9958801269531,17803300.0
2024-01-26,NVDA,60.99701690673828,390309000.0
2024-01-26,TSLA,183.25,107343200.0
2024-01-27,AAPL,,
2024-01-27,BTC-USD,42120.0546875,11422941934.0
2024-01-27,ETH-USD,2267.885986328125,5144367230.0
2024-01-27,MSFT,,
2024-01-27,NVDA,,
2024-01-27,TSLA,,
2024-01-28,AAPL,,
2024-01-28,BTC-USD,42035.59375,16858971687.0
2024-01-28,ETH-USD,2257.208740234375,7296214994.0
2024-01-28,MSFT,,
2024-01-28,NVDA,,
2024-01-28,TSLA,,
2024-01-29,AAPL,189.93624877929688,47145600.0
2024-01-29,BTC-USD,43288.24609375,20668476578.0
2024-01-29,ETH-USD,2317.064208984375,8948195551.0
2024-01-29,MSFT,403.7008972167969,24510200.0
2024-01-29,NVDA,62.43021774291992,348733000.0
2024-01-29,TSLA,190.92999267578125,125013100.0
2024-01-30,AAPL,186.28076171875,55859400.0
2024-01-30,BTC-USD,42952.609375,23842814518.0
2024-01-30,ETH-USD,2344.49365234375,10173440062.0
2024-01-30,MSFT,402.5874328613281,33477600.0
2024-01-30,NVDA,62.739044189453125,410735000.0
2024-01-30,TSLA,191.58999633789062,109982300.0
2024-01-31,AAPL,182.67483520507812,55467800.0
2024-01-31,BTC-USD,42582.60546875,24673628793.0
2024-01-31,ETH-USD,2282.54443359375,10807883277.0
2024-01-31,MSFT,391.7392578125,47871100.0
2024-01-31,NVDA,61.49274826049805,453795000.0
2024-01-31,TSLA,187.2899932861328,103221400.0
2024-02-01,AAPL,185.11180114746094,64885400.0
2024-02-01,BTC-USD,43075.7734375,21423953779.0
2024-02-01,ETH-USD,2303.82470703125,8895583113.0
2024-02-01,MSFT,397.8481140136719,30657700.0
2024-02-01,NVDA,62.991905212402344,369146000.0
2024-02-01,TSLA,188.86000061035156,91843300.0
2024-02-02,AAPL,184.11126708984375,102551700.0
2024-02-02,BTC-USD,43185.859375,18603843039.0
2024-02-02,ETH-USD,2308.0380859375,7186143091.0
2024-02-02,MSFT,405.1788330078125,28256700.0
2024-02-02,NVDA,66.12316131591797,476578000.0
2024-02-02,TSLA,187.91000366210938,110612700.0
2024-02-03,AAPL,,
2024-02-03,BTC-USD,42992.25,11169245236.0
2024-02-03,ETH-USD,2296.038330078125,4647754021.0
2024-02-03,MSFT,,
2024-02-03,NVDA,,
2024-02-03,TSLA,,
2024-02-04,AAPL,,
2024-02-04,BTC-USD,42583.58203125,14802225490.0
2024-02-04,ETH-USD,2289.546142578125,5438100035.0
2024-02-04,MSFT,,
2024-02-04,NVDA,,
2024-02-04,TSLA,,
2024-02-05,AAPL,185.92413330078125,69668800.0
2024-02-05,BTC-USD,42658.66796875,18715487317.0
2024-02-05,ETH-USD,2298.888916015625,7277068110.0
2024-02-05,MSFT,399.6906433105469,25352300.0
2024-02-05,NVDA,69.29339599609375,680078000.0
2024-02-05,TSLA,181.05999755859375,134294400.0
2024-02-06,AAPL,187.52899169921875,43490800.0
2024-02-06,BTC-USD,43084.671875,16798476726.0
2024-02-06,ETH-USD,2372.201904296875,9520885493.0
2024-02-06,MSFT,399.53302001953125,18382600.0
2024-02-06,NVDA,68.18501281738281,683111000.0
2024-02-06,TSLA,185.10000610351562,122676000.0
2024-02-07,AAPL,187.63795471191406,53439000.0
2024-02-07,BTC-USD,44318.22265625,21126587775.0
2024-02-07,ETH-USD,2423.7451171875,9660628536.0
2024-02-07,MSFT,407.96728515625,22340500.0
2024-02-07,NVDA,70.0599594116211,495575000.0
2024-02-07,TSLA,187.5800018310547,111535200.0
2024-02-08,AAPL,186.5581512451172,40962000.0
2024-02-08,BTC-USD,45301.56640625,26154524080.0
2024-02-08,ETH-USD,2419.906494140625,9941841732.0
2024-02-08,MSFT,408.0263977050781,21225300.0
2024-02-08,NVDA,69.60221099853516,414422000.0
2024-02-08,TSLA,189.55999755859375,83034000.0
2024-02-09,AAPL,187.32191467285156,45155200.0
2024-02-09,BTC-USD,47147.19921875,39316770844.0
2024-02-09,ETH-USD,2487.515625,13634203177.0
2024-02-09,MSFT,414.3717346191406,22032800.0
2024-02-09,NVDA,72.09284973144531,436637000.0
2024-02-09,TSLA,193.57000732421875,84476300.0
2024-02-10,AAPL,,
2024-02-10,BTC-USD,47771.27734375,16398681570.0
2024-02-10,ETH-USD,2501.228271484375,6474444159.0
2024-02-10,MSFT,,
2024-02-10,NVDA,,
2024-02-10,TSLA,,
2024-02-11,AAPL,,
2024-02-11,BTC-USD,48293.91796875,19315867136.0
2024-02-11,ETH-USD,2507.570556640625,7347245813.0
2024-02-11,MSFT,,
2024-02-11,NVDA,,
2024-02-11,TSLA,,
2024-02-12,AAPL,185.63568115234375,41781900.0
2024-02-12,BTC-USD,49958.22265625,34511985805.0
2024-02-12,ETH-USD,2658.115966796875,13022696866.0
2024-02-12,MSFT,409.15948486328125,21202900.0
2024-02-12,NVDA,72.20777130126953,613710000.0
2024-02-12,TSLA,188.1300048828125,95498600.0
2024-02-13,AAPL,183.54273986816406,56529500.0
2024-02-13,BTC-USD,49742.44140625,35593051468.0
2024-02-13,ETH-USD,2642.185302734375,18271237044.0
2024-02-13,MSFT,400.35089111328125,27824900.0
2024-02-13,NVDA,72.08785247802734,602580000.0
2024-02-13,TSLA,184.02000427246094,86759500.0
2024-02-14,AAPL,182.65994262695312,54630500.0
2024-02-14,BTC-USD,51826.6953125,39105608050.0
2024-02-14,ETH-USD,2777.90234375,21448973822.0
2024-02-14,MSFT,404.2203369140625,20401200.0
2024-02-14,NVDA,73.8588638305664,504917000.0
2024-02-14,TSLA,188.7100067138672,81203000.0
2024-02-15,AAPL,182.37229919433594,65434500.0
2024-02-15,BTC-USD,51938.5546875,38564360533.0
2024-02-15,ETH-USD,2824.37890625,23734481937.0
2024-02-15,MSFT,401.3280944824219,21825500.0
2024-02-15,NVDA,72.61753845214844,420122000.0
